SNo, Status, Count, Version, PowerLevelRight, ProfileRight, Name, MonitorId, IRIdRight, IRIdVWLeft, Self Noise, AStar, Part, Rssi, Star, Pkts Upgraded, Upgrade Status, MonitorType, LocationCnt, TriggerCnt, SuperSyncTrigger, SuperSyncFrequency, IRProfile, Star MacId, Noise Level, AStar MacId, ProfileVWLeft, Super Sync, Time, Idx, RootCause, Master/Slave, PowerLevelVWLeft, SpecialBeaconMissed, BeaconReceiveCount, SuperSyncSlot, TriggerCountForIRNotRecv/DIM TriggerCount, LBI, LBI Value, Retry, Cycle Count
1, ,7793, M.12.11.1, Medium,2, ,442852,2161,, No,407,1,-62,429, , , VW - 900 MHZ,24446,28754, No, Frequency Range 1, 3 secs, 00:24:DD:00:BD:9A, Medium, 00:24:DD:00:BF:D9, , Super Sync OFF,44270.63264,7, , Master, ,,5403558, , , No,739,1,14
2, ,7784, M.12.11.2, Medium,5, ,512195,1646,, No,273,1,-51,273, , , VW - 900 MHZ,2925,2505, No, Frequency Range 1, 3 secs, 00:24:DD:00:C1:F5, Medium, 00:24:DD:00:C1:F5, , Super Sync ON,44270.63194,11, , Master, ,5671,4725900, , , No,748,1,11
3, ,7920, M.3.1.20, Medium High,2, ,299525,1430,, No,116,1,-62,116, , , Monitor,80910,16, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:CA:E5, Low, 00:24:DD:00:CA:E5, , Super Sync OFF,44270.63403,5, , Master, ,,4955795, , , No,749,2,56
4, ,7790, M.12.1.12, Medium,3, ,392656,3382,, No,253,1,-54,253, , , VW - 900 MHZ,1653,37, No, Frequency Range 1, 3 secs, 00:24:DD:00:C0:56, Medium, 00:24:DD:00:C0:56, , Super Sync ON,44270.63264,12, , Master, ,5638,5279933, , , No,1023,2,13
5, ,7786, M.12.1.12, Medium,6, ,308803,974,, No,461,2,-77,442, , , VW - 900 MHZ,4160,, No, Frequency Range 1, 3 secs, 00:24:DD:00:C5:A3, Medium, 00:24:DD:00:BE:D4, , Super Sync OFF,44270.63194,7, , Master, ,,8148473, , , No,739,2,12
6, ,7793, M.12.11.1, Medium,3, ,444853,2175,, No,407,1,-49,407, , , VW - 900 MHZ,12800,12331, No, Frequency Range 1, 3 secs, 00:24:DD:00:BF:D9, Medium, 00:24:DD:00:BF:D9, , Super Sync ON,44270.63264,12, , Master, ,34545,5634895, , , No,746,1,14
7, ,7783, M.3.1.20, Low,4, ,316424,650,, No,273,1,-93,242, , , Monitor,12206,2, No, Frequency Range 1, 3 secs, 00:24:DD:00:C2:BF, Low, 00:24:DD:00:C1:F5, , Super Sync OFF,44270.63194,4, , Master, ,,4610167, , , No,760,1,11
8, ,7935, M.3.1.20, Medium,4, ,299551,2860,, No,339,1,-79,303, , , Monitor,107639,40, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:C0:5B, Medium, 00:24:DD:00:C0:08, , Super Sync OFF,44270.63403,9, , Master, ,,3598176, , , No,759,1,61
9, ,7919, M.3.1.20, Medium High,4, ,299488,1426,, No,116,1,-81,116, , , Monitor,56221,2, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:CA:E5, Low, 00:24:DD:00:CA:E5, , Super Sync OFF,44270.63403,5, , Master, ,,5018085, , , No,755,1,56
10, ,7789, M.12.1.6, Medium,4, ,320979,3906,, No,182,1,-50,182, , , VW - 900 MHZ,989,, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:C1, Medium, 00:24:DD:00:CB:C1, , Super Sync ON,44270.63264,5, , Master, ,,7530853, , , No,737,1,13
11, ,7790, M.3.1.20, Medium,5, ,314882,606,, No,43,1,-77,30, , , Monitor,11315,15, No, Frequency Range 1, 3 secs, 00:24:DD:00:CA:59, Medium, 00:24:DD:00:C6:DA, , Super Sync OFF,44270.63264,14, , Master, ,,6569470, , , No,762,1,13
12, ,7781, M.12.11.1, Medium,3, ,433031,1045,, No,268,1,-65,268, , , VW - 900 MHZ,5246,1734, No, Frequency Range 1, 3 secs, 00:24:DD:00:C0:A2, Medium, 00:24:DD:00:C0:A2, , Super Sync ON,44270.63194,1, , Master, ,92967,6351884, , , No,739,2,10
13, ,7793, M.12.11.1, Medium,5, ,434227,1079,, No,267,1,-65,269, , , VW - 900 MHZ,6746,2296, No, Frequency Range 1, 3 secs, 00:24:DD:00:BD:9C, Medium, 00:24:DD:00:BD:9D, , Super Sync ON,44270.63264,7, , Master, ,141588,6305087, , , No,742,2,14
14, ,7784, M.12.1.12, Low,1, ,430912,1644,, No,273,1,-56,277, , , VW - 900 MHZ,1341,, No, Frequency Range 1, 3 secs, 00:24:DD:00:C1:DA, Medium, 00:24:DD:00:C1:F5, , Super Sync ON,44270.63194,10, , Master, ,8468,5912411, , , No,750,1,11
