GROUP_ID,STAR_MACID,STAR_ID,VWMONITOR,IR_ID,MASTER_ID,BEACON_SLOT,COUNT,VW_RIGHTCOUNT,VW_LEFTCOUNT,MONITOR_LIST,VWRIGHT_MONITORLIST,VWLEFT_MONITORLIST,PROFILE_ID,CONTAMINATED
1,00_24_DD_00_C1_13,548,1,42,263650,9,7,0,0,"263591, 263603, 263611, 263618, 263629, 263650, 263653",,,1,0
2,00_24_DD_00_C1_C4,547,1,107,263641,8,7,0,0,"263590, 263598, 263606, 263609, 263620, 263634, 263641",,,2,0
3,00_24_DD_00_C1_C4,547,1,109,263646,8,6,0,0,"263589, 263594, 263608, 263622, 263646, 263648",,,2,0
4,00_24_DD_00_C5_63,550,1,110,263627,13,8,0,0,"263600, 263601, 263626, 263627, 263635, 263638, 263642, 263647",,,3,0
5,00_24_DD_00_C5_63,550,1,111,263636,13,2,0,0,"263617, 263636",,,6,0
6,00_24_DD_00_C1_13,548,1,112,263639,9,2,0,0,"263577, 263639",,,2,0
7,00_24_DD_00_C5_1F,10,1,60,223044,13,2,1,0,"222655, 223044",222567,,1,0
8,00_24_DD_00_C5_1F,10,1,63,222558,13,1,1,1,222558,222638,222567,2,0
9,00_24_DD_00_C5_1F,10,1,65,223056,13,5,0,1,"222599, 222643, 223056, 223496, 223540",,222638,3,0
10,00_24_DD_00_C2_6E,6,1,74,223536,7,3,1,0,"223425, 223442, 223536",223547,,4,0
11,00_24_DD_00_C2_6E,6,1,80,223248,7,2,1,0,"223248, 223511",223550,,6,0
12,00_24_DD_00_C2_6E,6,1,83,223561,7,2,0,2,"223244, 223561",,"223186, 223550",1,0
13,00_24_DD_00_C2_6E,6,1,84,223269,7,2,1,0,"223269, 223272",223186,,2,0
14,00_24_DD_00_C7_04,325,1,171,280696,1,3,0,0,"280544, 280673, 280696",,,1,0
15,00_24_DD_00_C7_04,325,1,169,280602,1,3,0,0,"280602, 281348, 281488",,,1,0
16,00_24_DD_00_C7_04,325,1,174,280718,1,2,0,0,"280656, 280718",,,2,0
17,00_24_DD_00_C7_04,325,1,167,281338,1,2,0,0,"281338, 281395",,,2,0
18,00_24_DD_00_C7_04,325,1,164,281472,1,3,0,0,"280684, 281359, 281472",,,3,0
19,00_24_DD_00_C7_04,325,1,163,280690,1,2,0,0,"280690, 280700",,,2,0
20,00_24_DD_00_C7_04,325,1,158,281482,1,3,0,0,"281461, 281473, 281482",,,3,0
21,00_24_DD_00_C7_04,325,1,156,281500,1,2,0,0,"281487, 281500",,,2,0
22,00_24_DD_00_C7_04,325,1,159,281509,1,4,0,0,"280552, 280915, 281090, 281509",,,1,0
23,00_24_DD_00_C6_E9,329,1,145,280933,6,2,0,0,"280933, 281092",,,3,0
24,00_24_DD_00_C6_E9,329,1,143,281013,6,2,0,0,"281003, 281013",,,3,0
25,00_24_DD_00_C6_E9,329,1,205,280916,6,3,0,0,"211314, 280916, 281514",,,1,0
26,00_24_DD_00_C6_E9,329,1,203,281094,6,2,0,0,"280945, 281094",,,2,0
27,00_24_DD_00_C6_E9,329,1,200,281378,6,2,0,0,"280946, 281378",,,2,0
28,00_24_DD_00_C6_E9,329,1,198,281382,6,2,0,0,"281360, 281382",,,2,0
29,00_24_DD_00_C6_E9,329,1,194,281093,6,2,0,0,"281093, 281225",,,2,0
30,00_24_DD_00_C5_6B,327,1,191,281153,3,2,0,0,"281153, 281366",,,2,0
31,00_24_DD_00_C5_6B,327,1,192,280882,3,2,0,0,"280882, 281383",,,6,0
32,00_24_DD_00_C5_6B,327,1,186,280599,3,2,0,0,"280599, 281199",,,1,0
33,00_24_DD_00_C5_49,326,1,184,281223,2,2,0,0,"281223, 281245",,,1,0
34,00_24_DD_00_C5_49,326,1,179,280553,2,2,0,0,"280553, 280907",,,1,0
35,00_24_DD_00_C5_49,326,1,178,280914,2,2,0,0,"280911, 280914",,,2,0
36,00_24_DD_00_C7_04,325,1,176,281449,1,2,0,0,"280679, 281449",,,4,0
37,00_24_DD_00_C7_04,325,1,211,281332,1,2,0,0,"280529, 281332",,,5,0
38,00_24_DD_00_C5_6B,327,1,208,281160,3,3,0,0,"281160, 281300, 281450",,,4,0
39,00_24_DD_00_C6_E9,329,1,284,280581,6,2,1,0,"280581, 281015",280554,,3,0
40,00_24_DD_00_C6_E9,329,1,298,280746,6,2,1,1,"280746, 281100",281103,280837,5,0
41,00_24_DD_00_C6_E9,329,1,128,280722,6,2,1,1,"280722, 281109",280837,281103,6,0
42,00_24_DD_00_C6_E9,329,1,138,280773,6,1,1,1,280773,280848,280849,2,0
43,00_24_DD_00_C6_E9,329,1,139,280750,6,2,1,1,"280750, 280832",280849,280848,1,0
44,00_24_DD_00_C6_E9,329,1,130,281209,6,3,0,0,"280587, 280745, 281209",,,5,0
45,00_24_DD_00_BD_D3,431,1,300,294291,45,2,0,0,"293867, 294291",,,2,0
46,00_24_DD_00_BD_D3,431,1,369,294126,45,3,0,0,"293892, 294056, 294126",,,3,0
47,00_24_DD_00_BD_D3,431,1,368,294127,45,2,0,0,"294087, 294127",,,1,0
48,00_24_DD_00_BD_D3,431,1,367,293862,45,3,0,0,"293832, 293862, 294136",,,5,0
49,00_24_DD_00_BD_D3,431,1,307,294064,45,3,0,0,"294052, 294064, 294116",,,2,0
50,00_24_DD_00_BD_D3,431,1,303,293866,45,2,0,0,"293866, 294033",,,3,0
51,00_24_DD_00_BD_D3,431,1,363,294082,45,5,0,0,"293837, 293890, 293930, 294082, 294224",,,4,0
52,00_24_DD_00_BD_D3,431,1,358,294161,45,2,0,0,"294046, 294161",,,1,0
53,00_24_DD_00_BD_D3,431,1,357,294130,45,3,0,0,"263605, 294130, 294164",,,5,0
54,00_24_DD_00_BD_D3,431,1,310,294101,45,3,0,0,"293947, 294076, 294101",,,2,0
55,00_24_DD_00_BD_D3,431,1,309,294071,45,2,0,0,"294017, 294071",,,3,0
56,00_24_DD_00_C4_C7,430,1,345,294069,44,2,0,0,"294069, 294743",,,1,0
57,00_24_DD_00_C4_C7,430,1,344,293979,44,4,0,1,"293966, 293979, 294070, 294095",,294019,2,0
58,00_24_DD_00_C4_C7,430,1,352,293936,44,3,1,0,"293936, 293959, 294155",294019,,3,0
59,00_24_DD_00_BD_D3,431,1,355,293972,45,2,0,0,"281231, 293972",,,5,0
60,00_24_DD_00_C4_C7,430,1,340,293992,44,2,0,0,"293992, 294016",,,6,0
61,00_24_DD_00_BD_D3,431,1,320,294207,45,2,0,0,"294203, 294207",,,6,0
62,00_24_DD_00_BD_9A,429,1,334,294255,43,3,0,0,"294231, 294241, 294255",,,5,0
63,00_24_DD_00_BD_9A,429,1,321,294122,43,2,0,0,"294122, 294767",,,6,0
64,00_24_DD_00_BD_9A,429,1,325,293899,43,3,0,0,"293803, 293899, 294104",,,2,0
65,00_24_DD_00_BD_9A,429,1,326,293804,43,2,0,0,"293804, 294005",,,3,0
66,00_24_DD_00_BD_9A,429,1,331,293800,43,3,0,0,"293800, 293806, 293848",,,1,0
67,00_24_DD_00_BD_9A,429,1,330,293824,43,2,0,0,"293795, 293824",,,2,0
68,00_24_DD_00_BD_9A,429,1,336,293793,43,3,0,0,"293793, 293794, 294229",,,3,0
69,00_24_DD_00_BD_9A,429,1,337,293884,43,2,0,0,"293884, 294198",,,6,0
70,00_24_DD_00_C5_2C,359,1,380,280670,45,2,0,0,"280650, 280670",,,1,0
71,00_24_DD_00_C5_2C,359,1,381,280643,45,16,0,0,"280639, 280643, 280649, 280651, 280652, 280663, 280749, 280797, 280813, 280959, 280965, 280968, 280969, 280970, 281001, 281006",,,2,0
72,00_24_DD_00_C5_2C,359,1,384,280805,45,2,0,0,"280647, 280805",,,1,0
73,00_24_DD_00_C5_2C,359,1,391,280622,45,2,0,0,"280612, 280622",,,1,0
74,00_24_DD_00_C5_2C,359,1,393,280779,45,2,0,0,"280624, 280779",,,1,0
75,00_24_DD_00_C5_2C,359,1,397,280993,45,2,0,0,"280993, 281002",,,1,0
76,00_24_DD_00_C5_2C,359,1,401,280653,45,2,0,0,"280653, 280680",,,1,0
77,00_24_DD_00_C5_2C,359,1,405,280964,45,2,0,0,"280964, 280981",,,1,0
78,00_24_DD_00_C5_18,356,1,413,280562,42,2,0,0,"280562, 280984",,,1,0
79,00_24_DD_00_C5_18,356,1,417,280660,42,2,0,0,"280660, 280799",,,1,0
80,00_24_DD_00_C5_18,356,1,421,280637,42,2,0,0,"280620, 280637",,,1,0
81,00_24_DD_00_C5_18,356,1,410,281008,42,14,0,0,"280742, 280762, 280798, 280823, 280835, 280836, 280850, 280874, 280942, 280954, 280957, 280962, 281008, 281146",,,3,0
82,00_24_DD_00_C5_18,356,1,461,281156,42,2,0,0,"281091, 281156",,,6,0
83,00_24_DD_00_C5_18,356,1,458,281107,42,2,0,0,"281107, 281149",,,6,0
84,00_24_DD_00_C5_18,356,1,456,280784,42,2,0,0,"280784, 280844",,,5,0
85,00_24_DD_00_C5_18,356,1,427,280638,42,2,0,0,"280638, 280640",,,4,0
86,00_24_DD_00_C5_18,356,1,431,280671,42,2,0,0,"280593, 280671",,,4,0
87,00_24_DD_00_C5_18,356,1,434,280605,42,2,0,0,"280605, 280621",,,5,0
88,00_24_DD_00_C5_6C,358,1,454,280611,44,9,0,0,"280611, 280658, 280840, 280972, 280997, 281000, 281009, 281137, 281220",,,5,0
89,00_24_DD_00_C5_2C,359,1,451,280716,45,2,0,0,"280607, 280716",,,4,0
90,00_24_DD_00_C5_2C,359,1,447,280560,45,2,0,0,"280560, 280713",,,4,0
91,00_24_DD_00_C5_6C,358,1,445,280626,44,2,0,0,"280610, 280626",,,1,0
92,00_24_DD_00_C7_07,332,1,474,280725,9,8,0,0,"280619, 280725, 280922, 280943, 280944, 280951, 281104, 281392",,,6,0
93,00_24_DD_00_C1_BB,330,1,501,281412,7,12,0,0,"280705, 281014, 281030, 281032, 281041, 281102, 281130, 281167, 281174, 281412, 281441, 281503",,,3,0
94,00_24_DD_00_C7_01,334,1,557,280939,13,12,0,0,"280563, 280596, 280926, 280939, 281018, 281136, 281143, 281240, 281408, 281494, 281507, 281913",,,4,0
95,00_24_DD_00_C7_01,334,1,564,280644,13,3,0,0,"280644, 280694, 281414",,,2,0
96,00_24_DD_00_C7_07,332,1,475,280978,9,2,0,0,"280978, 281140",,,1,0
97,00_24_DD_00_C7_07,332,1,482,281049,9,3,0,0,"281049, 281200, 281442",,,2,0
98,00_24_DD_00_C7_07,332,1,488,281204,9,3,0,0,"280851, 281159, 281204",,,3,0
99,00_24_DD_00_C7_07,332,1,491,280721,9,5,0,0,"280655, 280721, 281106, 281379, 281481",,,4,0
100,00_24_DD_00_C7_07,332,1,497,280719,9,3,0,0,"280631, 280715, 280719",,,5,0
101,00_24_DD_00_C7_23,331,1,561,281428,8,2,0,0,"281428, 281439",,,1,0
102,00_24_DD_00_C1_BB,330,1,503,281067,7,2,0,0,"281035, 281067",,,5,0
103,00_24_DD_00_C1_BB,330,1,580,281089,7,4,0,0,"281005, 281089, 281336, 281394",,,4,0
104,00_24_DD_00_C1_BB,330,1,509,281037,7,2,0,0,"281037, 281054",,,1,0
105,00_24_DD_00_C1_BB,330,1,514,281034,7,2,0,0,"281022, 281034",,,6,0
106,00_24_DD_00_C1_BB,330,1,516,281031,7,3,0,0,"281029, 281031, 281038",,,2,0
107,00_24_DD_00_C1_BB,330,1,522,280634,7,3,0,0,"280634, 280648, 280708",,,6,0
108,00_24_DD_00_C7_23,331,1,529,280906,8,3,0,0,"280906, 280932, 280937",,,5,0
109,00_24_DD_00_C7_23,331,1,532,280726,8,3,0,0,"280709, 280720, 280726",,,2,0
110,00_24_DD_00_C7_23,331,1,536,281012,8,3,0,0,"280987, 281012, 281019",,,6,0
111,00_24_DD_00_C7_23,331,1,545,281267,8,3,0,0,"281236, 281265, 281267",,,5,0
112,00_24_DD_00_C7_23,331,1,549,280935,8,3,0,0,"280935, 281016, 281027",,,2,0
113,00_24_DD_00_C7_01,334,1,551,281010,13,3,0,0,"281010, 281244, 281248",,,6,0
114,00_24_DD_00_C7_01,334,1,604,281277,13,3,0,0,"281021, 281217, 281277",,,5,0
115,00_24_DD_00_C4_C7,430,1,573,294034,44,2,0,0,"293964, 294034",,,5,0
116,00_24_DD_00_C4_C7,430,1,572,294003,44,2,0,0,"293965, 294003",,,4,0
117,00_24_DD_00_C5_18,356,1,409,280971,42,2,0,0,"280592, 280971",,,1,0
118,00_24_DD_00_C7_04,325,1,151,281269,1,2,0,0,"281242, 281269",,,2,0
119,00_24_DD_00_C7_04,325,1,148,280917,1,2,0,0,"280917, 280938",,,3,0
120,00_24_DD_00_C6_E9,329,1,622,281135,6,2,0,1,"280868, 281135",,280554,1,0
121,00_24_DD_00_C0_71,408,1,371,294257,15,2,0,0,"294257, 294261",,,5,0
122,00_24_DD_00_C0_66,386,1,659,280974,33,8,0,1,"280672, 280724, 280747, 280974, 280989, 281187, 281228, 281281",,280735,5,0
123,00_24_DD_00_C0_66,386,1,648,280714,33,3,0,0,"280714, 281111, 433978",,,6,0
124,00_24_DD_00_C0_66,386,1,646,280614,33,3,0,0,"280614, 355905, 433943",,,3,0
125,00_24_DD_00_C0_66,386,1,674,281237,33,3,0,0,"281237, 281432, 434117",,,1,0
126,00_24_DD_00_C0_66,386,1,686,281401,33,3,0,0,"281401, 281513, 433942",,,4,0
127,00_24_DD_00_C0_8B,385,1,706,281632,32,2,0,0,"281632, 281633",,,4,0
